"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
47,0.0162562149998848,"hard","mid",34,"demand_aversive","demand_avoid",0,0.0162562149998848,0,0.5,0.5
47,0.0176308099999005,"hard","mid",39,"demand_aversive","demand_avoid",0,0.0176308099999005,0,0.5,0.5
47,0.0157885200005694,"easy","mid",40,"demand_aversive","demand_avoid",1,0.0157885200005694,0,0.5,0.5
47,0.0165786239995214,"hard","mid",37,"demand_aversive","demand_avoid",0,0.0165786239995214,0,0.5,0.5
47,0.0168575409988989,"easy","mid",38,"demand_aversive","demand_avoid",1,0.0168575409988989,0,0.5,0.5
47,0.0171949030009273,"easy","mid",7,"demand_aversive","demand_avoid",1,0.0171949030009273,0,0.5,0.5
47,0.0162652079998225,"hard","mid",41,"demand_aversive","demand_avoid",0,0.0162652079998225,0,0.5,0.5
47,0.0179588500013779,"hard","mid",42,"demand_aversive","demand_avoid",0,0.0179588500013779,0,0.5,0.5
47,0.0169568060009624,"easy","mid",8,"demand_aversive","demand_avoid",1,0.0169568060009624,0,0.5,0.5
47,0.0173096429989528,"hard","mid",9,"demand_aversive","demand_avoid",0,0.0173096429989528,0,0.5,0.5
48,0.017511867000394,"hard","mid",1,"no_demand_aversive","no_demand_avoid",0,0.017511867000394,0,0.5,0.5
48,0.0162596609998218,"easy","mid",2,"no_demand_aversive","no_demand_avoid",1,0.0162596609998218,0,0.5,0.5
48,0.0167954769995049,"hard","mid",13,"no_demand_aversive","no_demand_avoid",0,0.0167954769995049,0,0.5,0.5
48,0.01650524499928,"hard","mid",14,"no_demand_aversive","no_demand_avoid",0,0.01650524499928,0,0.5,0.5
48,0.00746013800016954,"hard","mid",15,"no_demand_aversive","no_demand_avoid",0,0.00746013800016954,0,0.5,0.5
48,0.0175316800005021,"hard","mid",3,"no_demand_aversive","no_demand_avoid",0,0.0175316800005021,0,0.5,0.5
48,0.0164820229992984,"hard","mid",4,"no_demand_aversive","no_demand_avoid",0,0.0164820229992984,0,0.5,0.5
48,0.0176226419998784,"hard","mid",5,"no_demand_aversive","no_demand_avoid",0,0.0176226419998784,0,0.5,0.5
48,0.0164220609995027,"hard","mid",6,"no_demand_aversive","no_demand_avoid",0,0.0164220609995027,0,0.5,0.5
48,0.0171881180003766,"hard","mid",7,"no_demand_aversive","no_demand_avoid",0,0.0171881180003766,0,0.5,0.5
48,0.0168436690000817,"hard","mid",8,"no_demand_aversive","no_demand_avoid",0,0.0168436690000817,0,0.5,0.5
48,0.0170658420001928,"easy","mid",9,"no_demand_aversive","no_demand_avoid",1,0.0170658420001928,0,0.5,0.5
48,0.0166722010008016,"hard","mid",10,"no_demand_aversive","no_demand_avoid",0,0.0166722010008016,0,0.5,0.5
48,0.0162475170000107,"hard","mid",11,"no_demand_aversive","no_demand_avoid",0,0.0162475170000107,0,0.5,0.5
48,0.016264809999484,"hard","mid",12,"no_demand_aversive","no_demand_avoid",0,0.016264809999484,0,0.5,0.5
48,0.0162536760008152,"hard","mid",25,"no_demand_aversive","no_demand_avoid",0,0.0162536760008152,0,0.5,0.5
48,0.0101351799994518,"hard","mid",26,"no_demand_aversive","no_demand_avoid",0,0.0101351799994518,0,0.5,0.5
48,0.0165528790003009,"hard","mid",27,"no_demand_aversive","no_demand_avoid",0,0.0165528790003009,0,0.5,0.5
48,0.016934876999585,"hard","mid",28,"no_demand_aversive","no_demand_avoid",0,0.016934876999585,0,0.5,0.5
48,0.0167417339998792,"hard","mid",29,"no_demand_aversive","no_demand_avoid",0,0.0167417339998792,0,0.5,0.5
48,0.00883392000014283,"easy","mid",30,"no_demand_aversive","no_demand_avoid",1,0.00883392000014283,0,0.5,0.5
48,0.0165917919994172,"easy","mid",31,"no_demand_aversive","no_demand_avoid",1,0.0165917919994172,0,0.5,0.5
48,0.0172977539996282,"hard","mid",32,"no_demand_aversive","no_demand_avoid",0,0.0172977539996282,0,0.5,0.5
48,0.0167459160002181,"hard","mid",33,"no_demand_aversive","no_demand_avoid",0,0.0167459160002181,0,0.5,0.5
48,0.0164588209991052,"hard","mid",34,"no_demand_aversive","no_demand_avoid",0,0.0164588209991052,0,0.5,0.5
48,0.00985119999950257,"hard","mid",35,"no_demand_aversive","no_demand_avoid",0,0.00985119999950257,0,0.5,0.5
48,0.016967257000033,"hard","mid",36,"no_demand_aversive","no_demand_avoid",0,0.016967257000033,0,0.5,0.5
48,0.0173181679992922,"hard","mid",37,"no_demand_aversive","no_demand_avoid",0,0.0173181679992922,0,0.5,0.5
48,0.0169253310004933,"hard","mid",38,"no_demand_aversive","no_demand_avoid",0,0.0169253310004933,0,0.5,0.5
48,0.0168990900001518,"hard","mid",39,"no_demand_aversive","no_demand_avoid",0,0.0168990900001518,0,0.5,0.5
48,0.0167027820007206,"hard","mid",40,"no_demand_aversive","no_demand_avoid",0,0.0167027820007206,0,0.5,0.5
48,0.0168907730003411,"hard","mid",41,"no_demand_aversive","no_demand_avoid",0,0.0168907730003411,0,0.5,0.5
48,0.01699090800048,"hard","mid",42,"no_demand_aversive","no_demand_avoid",0,0.01699090800048,0,0.5,0.5
48,0.0166959799998949,"hard","mid",43,"no_demand_aversive","no_demand_avoid",0,0.0166959799998949,0,0.5,0.5
48,0.0170783919993482,"hard","mid",44,"no_demand_aversive","no_demand_avoid",0,0.0170783919993482,0,0.5,0.5
48,0.0168042330005846,"easy","mid",45,"no_demand_aversive","no_demand_avoid",1,0.0168042330005846,0,0.5,0.5
48,0.0170601179997902,"easy","mid",46,"no_demand_aversive","no_demand_avoid",1,0.0170601179997902,0,0.5,0.5
48,0.0163949319994572,"easy","mid",47,"no_demand_aversive","no_demand_avoid",1,0.0163949319994572,0,0.5,0.5
48,0.00719774400022288,"hard","mid",48,"no_demand_aversive","no_demand_avoid",0,0.00719774400022288,0,0.5,0.5
48,0.0171742389993597,"hard","mid",49,"no_demand_aversive","no_demand_avoid",0,0.0171742389993597,0,0.5,0.5
48,0.0167484220000915,"hard","mid",50,"no_demand_aversive","no_demand_avoid",0,0.0167484220000915,0,0.5,0.5
48,0.0169164669996462,"hard","mid",24,"no_demand_aversive","no_demand_avoid",0,0.0169164669996462,0,0.5,0.5
48,0.0160783600003924,"hard","mid",16,"no_demand_aversive","no_demand_avoid",0,0.0160783600003924,0,0.5,0.5
48,0.0168905299997277,"easy","mid",17,"no_demand_aversive","no_demand_avoid",1,0.0168905299997277,0,0.5,0.5
48,0.0171099069993943,"hard","mid",18,"no_demand_aversive","no_demand_avoid",0,0.0171099069993943,0,0.5,0.5
48,0.0164073410005585,"hard","mid",19,"no_demand_aversive","no_demand_avoid",0,0.0164073410005585,0,0.5,0.5
48,0.0169264959995417,"hard","mid",20,"no_demand_aversive","no_demand_avoid",0,0.0169264959995417,0,0.5,0.5
48,0.0172088290000829,"hard","mid",21,"no_demand_aversive","no_demand_avoid",0,0.0172088290000829,0,0.5,0.5
48,0.0169818329995906,"hard","mid",22,"no_demand_aversive","no_demand_avoid",0,0.0169818329995906,0,0.5,0.5
48,0.0159307679996346,"hard","mid",23,"no_demand_aversive","no_demand_avoid",0,0.0159307679996346,0,0.5,0.5
